hour,cf_humboldt
1257,0.730783806
1258,0.69577166
1259,0.587744939
1260,0.619792713
1261,0.624490688
1262,0.761795951
1263,0.947376518
1264,0.99948502
1265,1
1266,1
1267,1
1268,1
1269,0.999271255
1270,0.982415385
1271,0.931707692
1272,0.706393522
1273,0.576501215
1274,0.56079919
1275,0.671026721
1276,0.772121457
1277,0.812939271
1278,0.726124696
1279,0.6342
1280,0.710777328
1281,0.869535223
1282,0.950726316
1283,0.907355466
1284,0.652038866
1285,0.463937652
1286,0.367339271
1287,0.280045344
1288,0.318784615
1289,0.298690688
1290,0.295361134
1291,0.396495547
1292,0.356272874
1293,0.225441296
1294,0.060925506
1295,0.035556275
1296,0.021991093
1297,0.007099595
1298,0.016065587
1299,0.1674583
1300,0.377691498
1301,0.42711417
1302,0.278193522
1303,0.085475304
1304,0.012710121
1305,0.00471417
1306,0.037823482
1307,0.134851822
1308,0.2148
1309,0.254855061
1310,0.314289069
1311,0.532483401
1312,0.827748178
1313,0.889579757
1314,0.834548988
1315,0.72737004
1316,0.765636437
1317,0.90522915
1318,0.957552227
1319,0.994816194
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,0.999854251
1355,0.985609717
1356,0.915840486
1357,0.86397166
1358,0.910781377
1359,0.926957085
1360,0.90057085
1361,0.767866397
1362,0.59842753
1363,0.424102024
1364,0.24511498
1365,0.130235628
1366,0.195409717
1367,0.257126316
1368,0.189642105
1369,0.212007287
1370,0.337761134
1371,0.629320648
1372,0.526421053
1373,0.660640486
1374,0.585536842
1375,0.387680972
1376,0.387676923
1377,0.295034818
1378,0.218935223
1379,0.2066
1380,0.444310121
1381,0.431565182
1382,0.541466397
1383,0.531015385
1384,0.461738462
1385,0.380690688
1386,0.314088259
1387,0.185915789
1388,0.262009717
1389,0.344041296
1390,0.476436437
1391,0.397499595
1392,0.357766802
1393,0.280879352
1394,0.246463968
1395,0.232014575
1396,0.24711417
1397,0.167923077
1398,0.217404049
1399,0.313440486
1400,0.366872874
1401,0.526939271
1402,0.556333603
1403,0.363893117
1404,0.352786235
1405,0.595933603
1406,0.726178947
1407,0.992194332
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,0.999305263
1416,0.974737652
1417,0.85328583
1418,0.683697166
1419,0.575263158
1420,0.498923887
1421,0.378001619
1422,0.25637085
1423,0.188322267
1424,0.157337652
1425,0.145544939
1426,0.125296356
1427,0.213553846
1428,0.47297166
1429,0.561287449
1430,0.712433198
1431,0.731526316
1432,0.804850202
1433,0.961208907
1434,0.996749798
1435,0.999854251
1436,1
1437,1
1438,1
1439,0.99934413
1440,0.969162753
1441,0.985908502
1442,1
1443,1
1444,1
